upi_id,account_age_days,transaction_count_last_24h,transaction_velocity_1h,average_transaction_interval,average_transaction_amount,device_change,transaction_amount,new_recipient,similar_transactions_last_10min,location_change,ip_address_change,vpn_usage,transaction_time,merchant_transaction,blacklist_flag,is_fraud
user0@upi,1136,11,0.216250528,28.3611292,13770.07328,0,37581.50496,0,0,0,0,0,21,0,0,0
user1@upi,1469,12,0.208588368,79.36201679,14878.9483,0,16541.83239,1,1,1,1,0,3,1,1,1
user2@upi,870,9,0.296392007,47.03976527,3679.936743,1,757.7501497,0,1,0,0,0,19,1,0,0
user3@upi,1304,14,0.910802671,44.24435088,18297.44917,1,2761.84767,1,2,0,1,0,21,0,1,1
user4@upi,1140,12,0.54741484,82.80309887,15047.83015,0,14110.19194,1,4,0,1,1,5,1,0,1
user5@upi,1105,8,0.733905377,46.4619929,18674.17243,1,34480.26375,1,0,1,1,0,2,0,1,1
user6@upi,1734,8,0.34655876,41.53302002,6409.757053,1,45335.0901,1,2,0,1,0,0,0,0,1
user7@upi,1054,14,0.407715771,100.306609,18792.76681,1,47940.32513,1,2,0,1,1,2,0,1,1
user8@upi,1648,9,0.125565579,12.15313486,7433.501391,1,1302.174705,0,1,0,0,1,23,0,1,1
user9@upi,131,9,0.171294958,81.10711474,1173.998252,1,49504.46141,0,3,1,0,1,7,1,1,1
user10@upi,476,7,0.827356555,29.84704725,15283.09084,1,16131.63595,0,3,0,0,0,15,1,1,1
user11@upi,1248,15,0.584838632,1.859789019,14099.81207,1,42149.38185,1,4,0,1,1,21,0,1,1
user12@upi,340,16,0.337532466,20.01171226,11998.42875,1,9022.97008,1,4,0,1,1,6,1,1,1
user13@upi,1492,4,0.802851209,72.79938357,9848.885513,1,3154.283898,1,2,0,1,1,17,0,0,1
user14@upi,97,3,0.246519906,85.09526298,740.0888794,0,18923.98765,0,4,1,0,1,8,1,1,1
user15@upi,1406,17,0.976032699,2.526934027,12529.48531,0,42947.68017,1,3,1,0,0,2,0,0,1
user16@upi,1133,18,0.344817608,4.371053196,8395.008843,0,11049.03754,1,0,0,0,1,17,1,0,0
user17@upi,881,3,0.337310954,108.3050538,11248.16711,1,7706.326714,1,1,1,1,1,15,1,0,1
user18@upi,1697,6,0.311911906,8.796698174,8643.494705,1,45491.1184,1,3,1,1,0,20,0,0,1
user19@upi,140,9,0.122111516,107.301859,19324.51704,1,46917.47676,0,4,0,0,0,0,1,0,1
user20@upi,1695,17,0.111137147,27.37990965,12121.76713,0,637.2844775,1,1,0,0,1,20,0,0,0
user21@upi,1342,18,0.648105035,88.80213602,15009.80298,0,36374.51251,1,1,1,0,0,19,1,0,0
user22@upi,779,3,0.875118045,37.16798987,18733.30425,1,15467.29475,1,2,0,0,1,15,0,1,1
user23@upi,353,9,0.79052051,103.0502431,11872.82653,0,18741.47145,1,4,0,1,0,11,1,0,0
user24@upi,1525,0,0.141107594,84.05458385,340.0441047,0,23460.45772,0,2,0,0,0,5,1,0,0
user25@upi,1447,17,0.545582122,48.21761503,782.4043984,1,21345.2806,1,1,0,1,1,20,0,1,1
user26@upi,815,4,0.105591546,9.156294501,14076.53484,1,25753.53951,0,2,1,1,0,8,0,1,1
user27@upi,395,14,0.045294644,87.92402206,5653.794209,0,29122.26217,0,4,0,1,0,20,1,0,0
user28@upi,1225,16,0.656385859,74.02617072,11629.65657,1,23285.11929,1,3,1,1,1,12,1,1,1
user29@upi,965,2,0.535152334,0.34940614,4125.315904,0,35081.16139,1,0,0,1,1,23,0,0,1
user30@upi,286,11,0.082023685,1.130382717,5477.952614,0,35932.89713,0,3,0,1,0,11,0,1,1
user31@upi,1194,1,0.034939246,97.05515678,10142.35701,0,22023.55628,1,1,1,0,0,12,0,0,0
user32@upi,469,0,0.989756413,31.12796866,19513.83232,1,7131.732773,1,3,1,0,1,17,0,1,1
user33@upi,1347,16,0.030021332,76.33604013,12363.78274,0,32035.53968,0,2,1,0,0,18,1,0,0
user34@upi,31,15,0.444528253,54.50573037,18729.34728,0,38650.10605,0,4,1,0,1,18,1,1,1
user35@upi,262,4,0.504619025,103.6116017,19191.6591,1,31909.09496,0,3,0,1,0,18,1,0,0
user36@upi,757,14,0.117280148,110.0353336,4241.388929,1,29406.85774,0,3,0,0,0,5,1,1,1
user37@upi,866,2,0.169061778,119.6169255,6292.752689,0,11478.30544,0,4,1,1,1,15,1,1,1
user38@upi,1594,6,0.351805006,18.4420963,15422.8464,1,32260.40067,0,2,0,0,1,6,1,1,1
user39@upi,484,10,0.761675876,103.5556856,17348.60365,1,16749.46217,1,0,0,0,0,6,0,1,1
user40@upi,1092,9,0.507082424,31.92256521,10432.61221,0,45978.74755,1,3,0,1,0,22,1,1,1
user41@upi,520,8,0.637901875,70.89790499,19865.19874,1,32689.46744,1,1,1,1,0,18,0,0,1
user42@upi,1715,13,0.985174555,60.69274006,330.2867552,0,13916.20204,1,2,1,0,0,15,0,0,0
user43@upi,1509,12,0.768005435,2.158575789,6061.893846,1,23651.6162,1,2,1,0,1,16,0,0,1
user44@upi,709,1,0.434361498,111.9325536,12500.9189,1,42330.59798,1,3,1,1,0,21,0,1,1
user45@upi,985,2,0.446441922,9.399246618,9438.869228,0,16779.84292,1,4,1,1,0,18,1,1,1
user46@upi,1816,6,0.618772077,82.58627033,2420.399032,0,26276.7741,1,3,1,1,1,15,0,1,1
user47@upi,199,17,0.665365208,94.20082034,7418.963001,1,33986.70196,1,3,1,1,1,15,0,0,1
user48@upi,967,2,0.500710926,95.43454189,606.3981516,1,37728.92165,0,4,0,1,1,18,1,0,1
user49@upi,696,9,0.644861223,16.25934227,12890.64632,1,8702.869831,0,1,0,1,0,14,0,0,0
user50@upi,967,6,0.023532494,53.70839406,17865.57661,0,28261.96371,1,4,1,1,1,2,0,1,1
user51@upi,572,8,0.429622864,99.53146445,17708.99506,1,45610.87303,1,3,0,1,1,14,1,1,1
user52@upi,1909,16,0.278938076,36.32150525,14020.93503,0,48418.30548,0,0,0,1,0,15,0,1,1
user53@upi,1600,10,0.129174445,56.12984104,9368.82689,1,32810.69068,0,4,1,1,1,19,1,0,1
user54@upi,1277,6,0.099546513,32.73526712,10289.42921,1,49183.2036,0,1,0,0,1,4,1,1,1
user55@upi,841,13,0.603192166,55.62617015,2824.684598,1,28541.0551,1,4,0,1,0,18,1,1,1
user56@upi,1538,18,0.523600547,106.5405507,6886.240153,1,22135.82544,0,4,1,1,1,9,1,1,1
user57@upi,1164,3,0.253584117,54.61490772,3835.788702,1,27583.85707,0,2,1,0,0,12,1,0,1
user58@upi,1518,5,0.470950059,66.70944205,16441.88405,0,5794.462589,0,2,0,1,1,14,0,0,1
user59@upi,1852,9,0.492232315,48.477154,18303.60264,0,20091.77883,1,3,1,0,1,11,1,0,0
user60@upi,656,6,0.19500898,55.21406198,10784.7729,0,22925.6686,0,3,1,1,1,16,1,1,1
user61@upi,30,12,0.652093062,1.820903886,14582.50441,1,42432.90366,1,4,0,0,0,14,1,1,1
user62@upi,850,13,0.780919356,34.0494612,2517.148941,0,37934.84315,0,0,1,1,1,3,1,0,1
user63@upi,176,3,0.791463541,52.38980661,12209.8394,0,30075.315,0,3,0,0,1,14,1,1,1
user64@upi,1307,7,0.602469831,76.05563712,14085.54133,1,17370.38897,1,4,1,0,1,16,0,1,1
user65@upi,397,4,0.511638583,54.00623167,9110.085777,1,9359.858939,0,4,0,1,1,10,0,1,1
user66@upi,610,0,0.061007143,40.5380452,4941.134381,0,17394.7734,0,4,1,1,0,22,1,0,0
user67@upi,325,3,0.287831299,46.57184824,17559.75296,0,33993.40551,0,4,0,0,1,22,0,0,0
user68@upi,23,2,0.093271447,29.0751995,14883.88353,0,13159.25958,1,4,1,0,1,14,1,0,0
user69@upi,251,8,0.963823161,110.9393139,18007.15991,0,21350.06592,1,2,0,0,1,19,1,1,1
user70@upi,786,7,0.135080146,62.60918709,16386.21269,0,19344.64404,1,1,1,1,1,20,1,0,1
user71@upi,1379,0,0.15177541,1.609134465,19808.45115,0,38281.84729,0,1,0,0,0,6,0,0,0
user72@upi,574,5,0.889576618,2.33355101,3924.237391,0,44190.51524,1,4,1,0,0,12,1,0,1
user73@upi,907,8,0.943928283,116.7553962,1826.280579,1,34971.55413,0,3,0,0,0,21,1,0,0
user74@upi,1373,6,0.765829039,26.57410696,6806.355548,0,17086.69702,0,0,0,0,1,12,0,0,0
user75@upi,101,3,0.005404924,96.67299466,2667.183083,1,21664.52068,0,4,1,1,0,19,1,1,1
user76@upi,1400,12,0.001346271,6.993036187,10510.28925,1,7176.074201,0,0,1,1,0,19,0,1,1
user77@upi,965,16,0.37810077,110.5395284,12697.27522,1,8413.191414,0,2,0,0,0,1,0,1,1
user78@upi,1488,1,0.14339537,104.9300404,11607.94344,0,8222.985451,0,1,1,1,1,9,1,1,1
user79@upi,1461,4,0.018386142,68.53117949,5258.878694,0,6538.012014,0,2,0,1,1,17,0,1,1
user80@upi,518,11,0.464066689,1.079838874,18185.59822,1,8987.265613,0,3,0,0,0,19,1,1,1
user81@upi,785,7,0.943061897,30.93730488,521.3300383,0,10142.38325,1,3,0,0,1,4,0,0,0
user82@upi,1976,5,0.323819575,48.81871769,7025.46574,0,5601.17873,1,4,0,1,1,19,0,1,1
user83@upi,44,7,0.661140678,55.20769401,14407.95026,1,32016.63349,0,3,0,1,1,18,0,1,1
user84@upi,215,17,0.652235353,35.72145103,15361.88563,0,49520.17271,1,3,0,0,0,1,1,1,1
